Id,XGBoostMila,XGBoostGor,CatboostMila,CatBoostGor
1529,144516.87090257113,143617.8487436929,140844.47091834244,143617.8487436929
1530,180825.02655360935,178451.93710458328,164979.24480034434,178451.93710458328
1531,103627.91745551898,113671.06638465516,116441.73649379936,113671.06638465516
1532,103726.64719211667,96110.59967390764,100034.88189467552,96110.59967390764
1533,136767.05433790825,133209.2852490497,125999.56057561918,133209.2852490497
1534,113570.12398914946,117283.98722605022,114625.91425505708,117283.98722605022
1535,163478.18695378752,155676.77173487205,158081.0351341237,155676.77173487205
1536,117517.16283761816,110738.35317995882,110000.99974908525,110738.35317995882
1537,68656.57723614904,63712.61370874809,78622.18654373301,63712.61370874809
1538,181318.32694252237,163131.0827959648,157848.17285815201,163131.0827959648
1539,196967.75340309777,218122.02259998195,187199.98080684064,218122.02259998195
1540,86861.31910538956,91366.33808048166,93015.61146181017,91366.33808048166
1541,149933.4390551291,139802.0299909746,144257.87762668196,139802.0299909746
1542,142744.9347289774,140706.60961431707,142498.95187104432,140706.60961431707
1543,243777.2087983083,217829.76643514907,211504.52376421733,217829.76643514907
1544,79333.81286766278,74548.87269892443,77365.16056074708,74548.87269892443
1545,107925.92178721109,108660.81367106912,110841.65057158109,108660.81367106912
1546,134604.17363345445,132868.24702612052,127964.27947313922,132868.24702612052
1547,141172.70133385403,150981.3291239507,138333.38297346007,150981.3291239507
1548,133974.60721639454,133706.93357206823,133521.06550581194,133706.93357206823
1549,119817.48786797308,117773.02565870604,121682.16980850825,117773.02565870604
1550,143756.05063045525,142501.17014737218,136057.31370118263,142501.17014737218
1551,112301.65916560682,102545.64515030874,113826.09060048217,102545.64515030874
1552,122390.61588021202,126303.88320452697,132235.2697606649,126303.88320452697
1553,142014.31895698007,150766.5124734634,133837.52264429687,150766.5124734634
1554,107675.86740223928,113196.6256981172,106125.38952753555,113196.6256981172
1555,192330.11289122805,183096.01955688267,185625.24849668314,183096.01955688267
1556,75402.5223361879,71432.24689773745,89037.02249823182,71432.24689773745
1557,104088.78176391203,113534.43090874005,104681.87017424883,113534.43090874005
1558,85548.1126897977,91507.6321470917,86571.5224656769,91507.6321470917
1559,79598.06953154212,58153.43741479805,79756.77730976911,58153.43741479805
1560,143912.66756925048,131433.59747085872,148873.43273077812,131433.59747085872
1561,131569.03569215126,126852.97958272208,128046.58757947964,126852.97958272208
1562,121393.59825062027,124668.76476224729,126238.98557857003,124668.76476224729
1563,116883.36622859265,113326.3188887224,120438.86390578533,113326.3188887224
1564,143842.79178777375,167913.30475347798,161797.6307796198,167913.30475347798
1565,138845.70750272548,139423.34374452947,141085.85294722227,139423.34374452947
1566,229357.44123984204,223534.50930864707,262583.37559214997,223534.50930864707
1567,71364.287575773,72957.6308347936,73330.21017108962,72957.6308347936
1568,218424.4421501782,207076.48913524504,216414.56004738016,207076.48913524504
1569,133627.12112947172,137167.20804134663,132314.33937096276,137167.20804134663
1570,137084.21413621283,136859.59553751783,142141.15531810088,136859.59553751783
1571,134253.5174484495,127897.004410832,135306.47992422362,127897.004410832
1572,150357.67247397368,149005.96386682653,149541.71910774408,149005.96386682653
1573,240309.2398372248,246498.791202651,263511.2662757015,246498.791202651
1574,99392.44982585715,108830.76950558524,94580.79428144063,108830.76950558524
1575,204441.01514379468,200832.13844967785,201878.43911338405,200832.13844967785
1576,226616.02525361918,222278.28142274063,228494.5103194349,222278.28142274063
1577,194853.177706452,199140.35310062888,194955.34055418163,199140.35310062888
1578,146260.71697050452,141163.38285735744,141296.69774205794,141163.38285735744
1579,140249.36353437975,145443.75892360575,151677.12126343313,145443.75892360575
1580,193920.6539254446,189899.22697228444,200974.63706353743,189899.22697228444
1581,147243.5459237619,139568.73360247342,149146.66918664976,139568.73360247342
1582,128015.25592506962,132985.6293647222,126929.36137824971,132985.6293647222
1583,335816.7865410314,341970.99416407186,318066.1217005753,341970.99416407186
1584,233548.5843701059,234442.25645698627,228732.46909634196,234442.25645698627
1585,141032.93525365915,141920.33281329347,141222.24905027504,141920.33281329347
1586,71600.9226097441,75219.75500271883,71817.39506853516,75219.75500271883
1587,110735.36178838124,108302.53223694317,108168.37274753029,108302.53223694317
1588,145655.3131149989,148961.51101014917,148653.39318780578,148961.51101014917
1589,89565.53460641293,90734.44878438808,98454.6204036814,90734.44878438808
1590,131834.87884630103,136559.29282712776,129174.63757915789,136559.29282712776
1591,104583.90484992007,101011.3221523175,90769.39984010832,101011.3221523175
1592,110702.58266660591,119422.33925832504,117242.874039743,119422.33925832504
1593,115455.72482739859,125654.5131313948,116149.71731378497,125654.5131313948
1594,131331.33907411897,128693.64416770576,152048.00294055356,128693.64416770576
1595,104897.11930375975,94985.40134410272,104730.14936933004,94985.40134410272
1596,240100.09433564413,237748.1553170416,230939.81514999113,237748.1553170416
1597,192687.33191799218,168004.81437352925,190364.3443225264,168004.81437352925
1598,184182.9003902477,192846.18681796672,205519.97536544077,192846.18681796672
1599,175917.52880437294,180829.31349252543,177013.7905681773,180829.31349252543
1600,165518.41551612812,196865.82566758717,166709.74010309388,196865.82566758717
1601,63364.34824635023,82400.03174715795,71107.43804185999,82400.03174715795
1602,107285.46444730343,121636.187541867,108348.84118225976,121636.187541867
1603,83155.8635450928,67715.5198236918,87211.9649528838,67715.5198236918
1604,272989.77241264004,253619.01105452576,263844.5746579301,253619.01105452576
1605,240341.28653118064,256164.4021055629,246590.50684621025,256164.4021055629
1606,168654.2200442356,165229.46607657784,170399.82627191674,165229.46607657784
1607,149757.0612115123,160680.8804217116,153210.47452028104,160680.8804217116
1608,221409.1835404373,211408.68270703524,218569.74494013464,211408.68270703524
1609,192092.98379078152,196760.18153154684,192121.13548794665,196760.18153154684
1610,164743.0693541824,162235.76103909177,160433.85776970285,162235.76103909177
1611,137672.25847635267,135322.55837058116,140243.78111597188,135322.55837058116
1612,164364.2641365176,161667.23285335294,159988.3135508079,161667.23285335294
1613,152956.3593585019,152537.08859133013,156434.76958473367,152537.08859133013
1614,113438.1089650705,115452.14323430348,121896.24155942367,115452.14323430348
1615,82473.68121771156,85577.84153714444,84659.44431767231,85577.84153714444
1616,67168.93869483826,71704.62649199185,68421.09785431935,71704.62649199185
1617,87823.50495105446,92748.47720446109,87759.68135882543,92748.47720446109
1618,125295.56344041048,127066.18158037224,125170.27079583445,127066.18158037224
1619,136994.74392029777,135036.7933810222,135661.88822427345,135036.7933810222
1620,136573.63458497747,129355.04552136382,143952.1010864641,129355.04552136382
1621,134909.66769470874,132435.54016282444,137168.21331716486,132435.54016282444
1622,141158.77792485978,144561.20938195378,143002.48297165,144561.20938195378
1623,279064.92180476396,254083.44432902304,257661.8192517078,254083.44432902304
1624,208633.18814695728,199554.96110354023,205591.39702978777,199554.96110354023
1625,126807.30194925163,124018.09435779403,123475.24282726682,124018.09435779403
1626,169836.6720229538,171750.66022541933,164025.679480719,171750.66022541933
1627,192120.26644500616,194285.29022417843,191167.5898242517,194285.29022417843
1628,276199.38951443724,272511.5597085211,284827.31832215906,272511.5597085211
1629,184371.1558143515,180837.94896309805,190530.3347344975,180837.94896309805
1630,369408.5618573,391753.942275111,340633.03181009454,391753.942275111
1631,218947.84227479936,217935.32073475065,228758.730615657,217935.32073475065
1632,244342.76400674452,254630.00527939963,244741.80096260784,254630.00527939963
1633,168323.78530377673,168582.13476076705,173365.7747133378,168582.13476076705
1634,184341.07859638517,187539.01847722573,184770.72473724288,187539.01847722573
1635,179055.32763843768,183195.43123609584,178213.78141777104,183195.43123609584
1636,144759.80919614524,152378.77613536603,146505.30517594022,152378.77613536603
1637,170213.91098336197,168099.75251489936,178160.6336724156,168099.75251489936
1638,210650.85459649834,189281.7364465745,213064.37202381005,189281.7364465745
1639,186248.52606463715,182571.7820070192,186406.55063002248,182571.7820070192
1640,272366.4837407399,251621.69376068836,270327.41590143874,251621.69376068836
1641,187695.7285734128,191334.52691463789,180162.84504932284,191334.52691463789
1642,220966.43006354454,222772.13226731084,221954.65599896654,222772.13226731084
1643,221302.713951218,233449.2744074328,229931.60146965884,233449.2744074328
1644,222727.0617653398,233519.8315626994,236941.5673137908,233519.8315626994
1645,168334.41445650588,192170.8338712186,182616.91412642752,192170.8338712186
1646,150275.74516302047,154407.8464479607,155265.6610747408,154407.8464479607
1647,160527.74356641076,173148.22375303702,156189.3442141556,173148.22375303702
1648,129990.0845000045,127404.9836283702,126563.54093655419,127404.9836283702
1649,132267.6005139702,135072.31185098534,131187.4787374545,135072.31185098534
1650,119912.14578517634,110332.1538286677,123538.39680312201,110332.1538286677
1651,127107.86287127988,122097.73342707336,123261.26203453864,122097.73342707336
1652,94885.89741825209,100781.30983406104,93076.1216265301,100781.30983406104
1653,92381.73755027768,98147.2689375434,97198.74595245495,98147.2689375434
1654,151939.20403162923,156690.9615336384,148225.8161366325,156690.9615336384
1655,150678.05297344993,154394.81811718614,148591.97720634146,154394.81811718614
1656,148141.81684088986,147325.714663761,138481.88010768965,147325.714663761
1657,149944.861504537,147364.5969455217,145904.47057542397,147364.5969455217
1658,148727.62657739577,155150.360404817,144323.77585670733,155150.360404817
1659,140520.9237765968,146407.75950930273,127594.65042628125,146407.75950930273
1660,161628.43978447904,159398.94045995755,161345.72956270853,159398.94045995755
1661,481814.831937242,429216.4632181089,491323.7299320398,429216.4632181089
1662,420753.7529928668,368937.9681997013,418946.84206095984,368937.9681997013
1663,409594.2862140055,385217.10103060206,425357.22012606385,385217.10103060206
1664,385247.6680315108,453721.9503270649,448155.95366108953,453721.9503270649
1665,329142.9794621033,284423.53880441963,325821.4867798657,284423.53880441963
1666,319374.9768230725,305671.6607931674,344340.12353028305,305671.6607931674
1667,394688.364520069,358770.6416009795,369281.06683960505,358770.6416009795
1668,354306.5590966804,319172.99809482443,343809.8215907196,319172.99809482443
1669,312409.8988140464,283920.7265973501,290494.68618387304,283920.7265973501
1670,367372.7700555613,296598.5393276272,365272.36871399765,296598.5393276272
1671,270258.4965988381,278027.66777937004,271310.6802243581,278027.66777937004
1672,487930.56480460986,452062.6497522132,460268.54932219256,452062.6497522132
1673,311848.50823867094,296596.8775237713,296285.9751846103,296596.8775237713
1674,258063.2230351129,256893.96396648625,258867.37270028167,256893.96396648625
1675,187424.0003316365,190358.97704344505,186681.40193901872,190358.97704344505
1676,186946.1621110648,191444.0429880928,186114.86835230456,191444.0429880928
1677,217501.85279279575,216110.64386245087,218990.35551784953,216110.64386245087
1678,444842.039091693,436009.34771239455,425250.6272180985,436009.34771239455
1679,367627.58010843006,381508.2917169403,361661.9816678865,381508.2917169403
1680,321096.2857266249,328945.13334543497,336966.2208396822,328945.13334543497
1681,250073.79525272766,247951.93105625996,257421.72488618986,247951.93105625996
1682,290566.17281076376,298927.7279690462,311854.4864776947,298927.7279690462
1683,180277.92772721485,175306.2853561305,181631.80030834908,175306.2853561305
1684,171725.01587788545,169628.95156604864,172919.9869190581,169628.95156604864
1685,172255.05851492196,177359.38777225305,171182.14428318382,177359.38777225305
1686,165983.91583776972,170228.8041638328,170107.66320336773,170228.8041638328
1687,168454.31757717815,164844.90743372677,167391.900550291,164844.90743372677
1688,179467.74552323163,181244.4163416346,186818.49571290953,181244.4163416346
1689,185118.37585178827,183422.47147501013,193047.87766934646,183422.47147501013
1690,189452.89620799202,188384.92679206232,194501.59878971864,188384.92679206232
1691,176112.9777660606,178787.7772878681,175529.80005751565,178787.7772878681
1692,276376.6833705433,276318.9512017301,269525.48328701255,276318.9512017301
1693,173724.69149031906,167744.73634833613,172632.79100689822,167744.73634833613
1694,181768.03714813368,185340.7001856474,184579.73060078776,185340.7001856474
1695,166850.21784272685,163185.35822539174,166657.79541271023,163185.35822539174
1696,271272.3790925572,260296.6828254325,272282.9313690883,260296.6828254325
1697,174783.2125805631,168021.9320285968,178404.9560686852,168021.9320285968
1698,377472.5532853488,363525.1778732994,375333.2493297157,363525.1778732994
1699,319396.0003159092,365088.789233512,304120.15320740367,365088.789233512
1700,234736.42283668212,252251.72443653905,232736.09336115685,252251.72443653905
1701,250132.3675597723,276119.35377917055,270511.97583327483,276119.35377917055
1702,263795.41123291216,248470.9854962747,254555.97533394274,248470.9854962747
1703,265353.6108101946,265543.2329788099,267228.7790582346,265543.2329788099
1704,317700.79643402266,284471.259755558,296714.71283897903,284471.259755558
1705,223568.50200709573,211797.6213232624,233911.01237009052,211797.6213232624
1706,485963.5715380404,457178.8708935977,461705.92958097666,457178.8708935977
1707,214433.4965048844,222610.11646984925,218020.61596088522,222610.11646984925
1708,219552.66193511654,212334.77917081927,217663.26516395077,212334.77917081927
1709,312012.77589580516,245629.11219984057,296507.30697094376,245629.11219984057
1710,227370.97032739286,227880.7210805302,225642.53586829366,227880.7210805302
1711,261759.88301630208,263229.8966675586,266651.0138466196,263229.8966675586
1712,284321.3441862245,255860.4090194522,282188.3595256845,255860.4090194522
1713,264735.2474095993,252026.15119824355,274441.63034371054,252026.15119824355
1714,216277.71443765782,214633.92712828095,228029.16343498105,214633.92712828095
1715,201600.41263587572,206195.8094471613,205006.429745426,206195.8094471613
1716,199679.96711716527,184485.46662976895,200580.61494093336,184485.46662976895
1717,177630.60056294504,169624.5578438851,176490.43056335865,169624.5578438851
1718,118491.14142738603,131368.5936408568,122612.55186909408,131368.5936408568
1719,195416.57897925656,192711.68712706276,195205.15870895147,192711.68712706276
1720,255083.8595817909,266187.79751962,239828.0884355241,266187.79751962
1721,165858.38162989123,159961.63812885675,168689.70511750082,159961.63812885675
1722,109794.695515276,125617.03187644597,109481.79581889734,125617.03187644597
1723,155090.461940318,152432.36141954173,151609.22103493457,152432.36141954173
1724,219462.69550466075,215614.11489382223,211477.12822156298,215614.11489382223
1725,242996.17811665643,237965.0806591733,233836.53158221318,237965.0806591733
1726,181408.76149500674,200087.1125616677,177775.36085970793,200087.1125616677
1727,154543.34504293924,172221.66887380244,152025.10316426287,172221.66887380244
1728,182855.29657786785,181834.4269061208,181416.5357238712,181834.4269061208
1729,163532.3104481065,168624.4110010379,159548.16043345188,168624.4110010379
1730,168897.8426927284,147553.3055679175,173782.1099355183,147553.3055679175
1731,123622.38380114143,124269.40213439411,114738.55833777752,124269.40213439411
1732,131108.41494898556,126784.78341748667,136758.31430502582,126784.78341748667
1733,118713.29048983859,116302.87392444973,120211.56114643147,116302.87392444973
1734,125666.75305805827,125857.38255421112,124174.02904011033,125857.38255421112
1735,133686.91042542827,132176.37868583365,135426.25657173552,132176.37868583365
1736,116196.16108273734,116809.58062235014,117603.17838396196,116809.58062235014
1737,361046.8603598509,386459.98942028696,351847.74349135504,386459.98942028696
1738,207163.55359169605,227838.54064262385,218982.2772124767,227838.54064262385
1739,270090.173893698,268635.1192090287,275222.8543863164,268635.1192090287
1740,204040.87825740187,211688.88660890103,212714.5520533137,211688.88660890103
1741,200948.32195848107,179486.5110173501,197314.80099295478,179486.5110173501
1742,162865.73872864095,172675.0363758293,169786.81942604625,172675.0363758293
1743,169749.73093127215,181685.33181029465,170437.22841814987,181685.33181029465
1744,331238.9447503008,322868.4401298232,307193.68608346523,322868.4401298232
1745,210279.33792768844,205118.49986625765,205241.1511836454,205118.49986625765
1746,234034.77172983656,203575.7377138177,219387.77070323154,203575.7377138177
1747,210456.0269150439,226917.42742808207,222475.50260880042,226917.42742808207
1748,216038.93941921202,214684.40657312045,218436.8558812488,214684.40657312045
1749,152274.08520816575,156472.7217766109,152469.58842400153,156472.7217766109
1750,133739.68376207136,123894.59057658122,136356.88350128007,123894.59057658122
1751,238772.87566191456,253016.11713773813,243089.4367355905,253016.11713773813
1752,122040.81721981768,127438.05682960198,124748.3877740151,127438.05682960198
1753,130600.08609833066,132759.8274975409,135515.80501996793,132759.8274975409
1754,200182.4697974741,185996.6835902336,200391.6443074594,185996.6835902336
1755,162478.46492307854,174112.09650775403,165900.41349842036,174112.09650775403
1756,128156.72796121916,129501.34622520288,128815.05903445657,129501.34622520288
1757,119823.94993126973,125080.95460671,117099.72393168374,125080.95460671
1758,140205.69862708868,149454.75342125827,150097.53945666426,149454.75342125827
1759,180369.34082149586,157444.17532283146,169727.4249135355,157444.17532283146
1760,164125.00576053417,172951.70174033687,157183.58679668797,172951.70174033687
1761,150330.31651701135,139111.25805200744,149760.0593664984,139111.25805200744
1762,164940.47728583828,167604.73547615035,182052.64330036967,167604.73547615035
1763,169782.24595819652,169206.19148250655,167589.40383621375,169206.19148250655
1764,118799.05251342364,113430.90232221456,116321.1293177189,113430.90232221456
1765,158113.6682509895,176735.61227485223,169423.7725143227,176735.61227485223
1766,162781.81941221765,166776.18378730095,173292.5146233757,166776.18378730095
1767,197188.88636245608,211299.25156663836,203753.63671842817,211299.25156663836
1768,142654.4835979679,145665.4501274801,142125.1030098898,145665.4501274801
1769,176867.57596358258,182942.51754418737,177101.38228039883,182942.51754418737
1770,142660.44975901788,141574.1862294081,143132.79246649548,141574.1862294081
1771,136207.55556808994,130068.66775009171,130135.18283864512,130068.66775009171
1772,123545.87340976753,124107.33944538992,124021.01942213034,124107.33944538992
1773,132097.32340461208,127167.14763751824,131498.61699666083,127167.14763751824
1774,124550.6274745822,133633.7143401227,121719.40714891237,133633.7143401227
1775,128998.53081909234,133114.70473333186,128595.63882538202,133114.70473333186
1776,131446.61113149047,143156.25055467218,119748.39019565789,143156.25055467218
1777,110771.79120634124,111484.58086913338,109901.92618815103,111484.58086913338
1778,132524.59464500938,126630.827236132,129166.9807104559,126630.827236132
1779,126171.91493236412,117710.5508237006,127063.53175192456,117710.5508237006
1780,185112.23283940993,173373.88441896494,189514.0519071345,173373.88441896494
1781,138005.25423369696,137443.95531739335,133108.0059820583,137443.95531739335
1782,91723.35529622446,83232.11920559645,87875.36669850584,83232.11920559645
1783,130110.5536834478,133831.3477159098,135335.71266798413,133831.3477159098
1784,96066.6196465697,95608.90184853689,102859.92069201045,95608.90184853689
1785,110810.049486435,122392.72666062776,109883.43396089508,122392.72666062776
1786,121520.63205570917,113989.0299578688,131745.85990330973,113989.0299578688
1787,157587.26790618818,183146.05244840737,173193.15707341064,183146.05244840737
1788,47572.43145996461,50558.69806640647,51009.475383639845,50558.69806640647
1789,101448.66705712824,96803.72422708976,110073.85630572456,96803.72422708976
1790,75748.84655960626,77220.77205820302,77129.60747510278,77220.77205820302
1791,174837.6043293753,172310.30757084978,181990.01842344526,172310.30757084978
1792,146774.21276738934,161109.04681737325,149993.48510024179,161109.04681737325
1793,136309.50974769436,133177.05139452638,142476.4630342347,133177.05139452638
1794,146497.22181770098,146131.48443980995,146893.7953055971,146131.48443980995
1795,135026.9056469529,143961.51489133103,134421.70215226727,143961.51489133103
1796,134673.79658477427,135049.09458251798,131946.81442312905,135049.09458251798
1797,122941.06828392946,112958.14200910268,128350.44948976749,112958.14200910268
1798,116186.904499466,125472.54343219634,119100.73435142134,125472.54343219634
1799,115837.09388327562,117484.29485766696,110248.74716525573,117484.29485766696
1800,135940.36057424697,139654.58498410013,131032.62901126301,139654.58498410013
1801,131854.1721593131,119323.76267692805,129427.21755323518,119323.76267692805
1802,163155.26812680505,128509.23832604916,158285.4143358608,128509.23832604916
1803,138266.5165103613,147269.1086697939,141771.86826506403,147269.1086697939
1804,139498.74810811738,144303.6611981941,141434.64136203576,144303.6611981941
1805,134483.1390409648,133303.8233669121,140775.16686306873,133303.8233669121
1806,107901.28391859889,113408.002390843,113791.16318923864,113408.002390843
1807,132621.67491676754,147591.7903656532,124666.1128249676,147591.7903656532
1808,124093.5836530996,119381.06891146331,125304.62736518233,119381.06891146331
1809,121339.96383453562,129768.70877785629,113810.90886779103,129768.70877785629
1810,145062.6387464554,153603.82944762323,136364.3945011253,153603.82944762323
1811,113654.67855434131,109524.52853846534,110477.37144417707,109524.52853846534
1812,103040.12784015115,100229.4229401536,88229.0338369398,100229.4229401536
1813,122596.36828356063,128417.51554862063,117816.22376206172,128417.51554862063
1814,91911.97862154283,91450.1378411368,88526.72313708438,91450.1378411368
1815,51526.64472577484,56182.501709601216,57285.538324704416,56182.501709601216
1816,101824.48432727922,102604.77937223043,98095.37229224238,102604.77937223043
1817,106688.49353488912,111526.54969091972,107876.52401009007,111526.54969091972
1818,129708.36979481229,123229.91840797177,142838.32077205993,123229.91840797177
1819,119193.91051307846,114491.35574891152,118830.19829091674,114491.35574891152
1820,58947.579351457556,50308.542825322846,63216.3643262867,50308.542825322846
1821,108992.11629928215,113116.10663113873,104920.48374210749,113116.10663113873
1822,151861.40383535845,149504.6092535186,143341.399653469,149504.6092535186
1823,37024.079406253266,26796.093668798854,47978.02752762675,26796.093668798854
1824,142718.8780612285,145403.01439999996,139333.9922104882,145403.01439999996
1825,136470.85244626307,127937.74573662672,151584.87798435774,127937.74573662672
1826,112374.04854168645,104302.26654111776,111020.50605912738,104302.26654111776
1827,106857.26867504553,98623.6674136936,105882.0561795329,98623.6674136936
1828,136354.37237017887,144911.61199075723,142187.19795630284,144911.61199075723
1829,120009.36195073502,120659.57912993304,120910.0081633985,120659.57912993304
1830,139171.21145906116,141429.85816533538,133724.51003976463,141429.85816533538
1831,182673.513679204,173440.48990204852,163128.93568939072,173440.48990204852
1832,83475.15932964328,99757.58807681064,96780.76360679857,99757.58807681064
1833,125098.52212756977,142087.4801799091,133964.3751529797,142087.4801799091
1834,122301.29373373624,113617.14551552596,120438.02904278103,113617.14551552596
1835,135084.16360571838,152601.9827240215,123328.74316828654,152601.9827240215
1836,118990.40321706748,128863.53313414614,118761.80601620043,128863.53313414614
1837,89459.31660117528,78690.98389977825,91007.09650776276,78690.98389977825
1838,127206.98781676027,120209.36338828994,123906.43947829721,120209.36338828994
1839,77129.66827510975,82174.82191417713,86423.23923746108,82174.82191417713
1840,150780.5122039843,121377.88530546492,153594.46658605378,121377.88530546492
1841,138912.13502217052,142535.65792655808,134096.47916589162,142535.65792655808
1842,67506.02290686009,73179.26636900376,75781.40878380537,73179.26636900376
1843,145913.58552200004,131040.13543759364,148916.3006513626,131040.13543759364
1844,138539.56709954387,150039.0962084286,141965.57493707485,150039.0962084286
1845,140824.06040874,126225.42928988684,143879.3699213259,126225.42928988684
1846,152765.81870241792,147311.2970713724,151407.6028837459,147311.2970713724
1847,156725.53094771592,151833.5755112224,169552.27070953944,151833.5755112224
1848,51903.90074924215,55368.73218792212,55069.76407857005,55368.73218792212
1849,116094.64572756385,113158.91492493852,118303.36188501932,113158.91492493852
1850,122378.49481182829,117206.30979612538,109750.73363254961,117206.30979612538
1851,153738.47829466994,148380.54450637393,154944.57351903748,148380.54450637393
1852,131039.55957136102,125245.09853159833,127698.39126121487,125245.09853159833
1853,125127.37973143731,115203.9543126573,124354.19265805406,115203.9543126573
1854,172303.56979558518,163351.69923864142,169616.9506760176,163351.69923864142
1855,151341.22061656948,139657.9119347138,147704.53158544024,139657.9119347138
1856,215186.90110470366,208953.30010707356,215946.49424957586,208953.30010707356
1857,165278.21009565497,171983.67626403944,169137.81336652092,171983.67626403944
1858,133264.9991262018,120669.98636446918,143588.15679767897,120669.98636446918
1859,126925.09075001377,116724.12854865885,128419.89216063448,116724.12854865885
